  1,1.20,0.46,61.58
  2,1.20,0.88,26.32
  3,5.95,5.32,10.58
  4,4.45,8.90,99.93
  5,3.95,4.01,1.52
  6,2.70,2.92,8.07
  7,2.75,2.40,12.75
  8,3.70,2.67,27.78
  9,2.55,2.64,3.73
 11,9.85,9.58,2.75
