  1,15.93,21.74,45.72,62.41,-2.09
  2,15.93,21.74,45.72,62.41,-2.09
  3,46.15,62.99,11.07,15.11,3.96
  4,40.94,55.88,17.22,23.51,2.68
  5,35.35,48.25,23.42,31.97,1.84
  6,29.77,40.64,29.79,40.66,0.76
  7,23.92,32.65,35.75,48.80,0.61
  8,17.87,24.39,41.76,57.00,0.67
  9,12.33,16.83,47.25,64.50,0.74
 10,6.27,8.56,53.52,73.05,0.45
 11,42.04,57.38,12.63,17.24,7.44
