43,  61,0.16, 110,0.15, 183,0.14,0.15,0.00
46,  73,0.19, 122,0.16, 183,0.14,0.17,0.01
49,  85,0.22, 134,0.18, 208,0.16,0.19,0.02
54,  98,0.26, 159,0.21, 269,0.21,0.23,0.01
60, 110,0.29, 183,0.25, 317,0.25,0.26,0.01
