43, 269,0.70, 464,0.63, 830,0.65,0.66,0.02
46, 269,0.70, 476,0.64, 874,0.68,0.68,0.02
49, 305,0.80, 525,0.71,1019,0.79,0.77,0.03
54, 391,1.02, 690,0.93,1260,0.98,0.98,0.03
60, 488,1.27, 806,1.09,1636,1.28,1.21,0.06
